time,distance
1461396465.6137953,175
1461396465.6738183,176
1461396465.7338707,177
1461396465.7939036,177
1461396465.8538976,179
1461396465.913905,179
1461396465.9739437,179
1461396466.0339963,180
1461396466.094034,181
1461396466.1540534,181
1461396466.2141078,181
1461396466.2741237,182
1461396466.3344128,183
1461396466.3941987,183
1461396466.4542367,185
1461396466.5142827,185
1461396466.5742958,186
1461396466.6343162,186
1461396466.69435,187
1461396466.7543843,187
1461396466.8144212,188
1461396466.8744533,188
1461396466.9344695,189
1461396466.9942777,191
1461396467.054309,192
1461396467.1143446,192
1461396467.1746156,193
1461396467.2346349,192
1461396467.2947016,193
1461396467.3547237,194
1461396467.4148004,194
1461396467.4748158,194
1461396467.5348136,195
1461396467.59486,196
1461396467.6548822,197
1461396467.7149122,197
1461396467.7749345,198
1461396467.835,198
1461396467.8950365,199
1461396467.9550498,199
1461396468.0150805,201
1461396468.0751216,201
1461396468.1351385,201
1461396468.1951826,202
1461396468.2552032,203
1461396468.3152468,203
1461396468.3752792,204
1461396468.4353178,204
1461396468.4953423,205
1461396468.5553765,206
1461396468.6153975,207
1461396468.6754453,207
1461396468.7354705,208
1461396468.7954848,209
1461396468.8555467,209
1461396468.915563,210
1461396468.9755828,210
1461396469.0356307,210
1461396469.0956461,211
1461396469.1556926,211
1461396469.2157242,213
1461396469.2757668,213
1461396469.3357804,214
1461396469.3958485,214
1461396469.4558594,215
1461396469.5158937,216
1461396469.5759246,216
1461396469.6359458,216
1461396469.6959815,218
1461396469.7560346,218
1461396469.8160617,219
1461396469.8760843,219
1461396469.9361248,220
1461396469.9961712,221
1461396470.056185,222
1461396470.1162298,222
1461396470.1762214,222
1461396470.2362757,223
1461396470.2960806,225
1461396470.3561227,226
1461396470.4163892,225
1461396470.4764035,226
1461396470.53646,226
1461396470.5964909,227
1461396470.656519,228
1461396470.7165625,228
1461396470.7765732,229
1461396470.8366122,229
1461396470.8966193,230
1461396470.956679,231
1461396471.0167122,231
1461396471.0767598,231
1461396471.1367931,232
1461396471.1968195,232
1461396471.2568417,233
1461396471.3168623,234
1461396471.3769069,235
1461396471.4369283,235
1461396471.496994,236
1461396471.5570433,237
1461396471.6170564,237
1461396471.6770697,238
1461396471.737114,239
1461396471.7971506,239
1461396471.8574378,240
1461396471.9172163,241
1461396471.9772348,240
1461396472.0372746,241
1461396472.0973263,242
1461396472.1573498,243
1461396472.2173612,243
1461396472.2774003,244
1461396472.337438,244
1461396472.3974836,245
1461396472.4575,246
1461396472.5175693,245
1461396472.5775807,247
1461396472.6375947,248
1461396472.697642,247
