time,distance,uavangle,height
1461464152.353582,193,-1,56
1461464152.413588,194,-1,56
1461464152.4736488,195,-1,56
1461464152.5336618,197,0,56
1461464152.59393,197,0,56
1461464152.6539502,197,-1,56
1461464152.7139668,198,-1,56
1461464152.7740116,200,0,56
1461464152.834038,201,-1,56
1461464152.894075,201,-1,56
1461464152.9541087,203,-1,56
1461464153.013905,205,-1,56
1461464153.0739305,206,-1,56
1461464153.1339626,207,-1,56
1461464153.1939883,208,-1,56
1461464153.2540314,209,0,56
1461464153.3140745,210,0,56
1461464153.3741128,212,-1,56
1461464153.4341254,212,-1,56
1461464153.4941525,214,-1,57
1461464153.5541744,215,-1,56
1461464153.6142383,216,0,56
1461464153.6742482,217,-1,56
1461464153.734271,218,-1,56
1461464153.7943077,219,-1,56
1461464153.8543491,220,-1,56
1461464153.9143867,221,-1,56
1461464153.9743955,222,-1,56
1461464154.0344207,223,-1,56
1461464154.0945213,225,0,56
1461464154.154507,225,-1,56
1461464154.2145216,227,-1,56
1461464154.2745645,227,-1,56
1461464154.3345993,229,-1,56
1461464154.394605,230,-1,56
1461464154.4546735,231,-1,56
1461464154.514679,232,-1,56
1461464154.5747216,233,-1,56
1461464154.634791,234,-1,56
1461464154.6948,234,-1,56
1461464154.7548454,237,0,56
1461464154.8148525,236,-2,56
1461464154.8749168,237,-2,56
1461464154.934942,239,0,56
1461464154.9949677,241,0,56
1461464155.0550115,241,-1,56
1461464155.1150224,244,0,56
1461464155.175055,244,-1,56
1461464155.235092,244,-2,57
1461464155.2951255,247,0,56
1461464155.3551373,247,-1,56
1461464155.4151514,248,-1,56
1461464155.4751995,250,0,56
1461464155.5352283,250,-1,56
1461464155.5952387,251,-1,56
1461464155.6552846,253,-1,56
1461464155.7153373,255,0,56
1461464155.7753556,254,-1,56
1461464155.8354068,255,-1,56
1461464155.8954265,258,0,56
1461464155.9554467,258,-1,56
1461464156.0154688,259,-1,56
1461464156.0754976,260,-1,56
1461464156.135538,261,-1,56
1461464156.195553,262,-1,56
1461464156.2557793,263,-1,56
1461464156.3156343,264,-1,56
1461464156.375664,266,0,57
1461464156.4356904,267,0,56
